id,validity,bundlename,bundle,bundleCode,bundleAmount,vendorName,productCode
"0fbef290-7b88-4127-b484-dc716f130526, 6a18e361-9dbe-48b6-843e-da21dba3b25e", 6GB ,"""6GB for Monthly""",MTN 2500  6GB ,MTN056,2500,"BAXI, BUYPOWERNG",TCMTNVD
"15abdd40-e475-4075-a4bc-c23de79f8544, 4dc8a64b-5fac-4c14-80bd-803270029a35", 10GB ,"""10GB for Monthly""",MTN 3300  10GB ,MTN057,3300,"BAXI, BUYPOWERNG",TCMTNVD
169460c1-2fd4-40cd-bcdf-613652c49612, 325GB ,"""325GB for 6-Months""",MTN 100000  325GB ,MTN058,100000,BAXI,TCMTNVD
"16b92459-582f-4db3-93de-9a5a5a825c99, 494c6bde-0c48-46d2-ad5b-e774f9a9df06", 120GB ,"""120GB for 60Days""",MTN 30000  120GB ,MTN059,30000,"BAXI, BUYPOWERNG",TCMTNVD
"19467ca7-8431-4af5-b351-65e1632f5d55, 5bae3d41-ac3f-4454-86b8-b20cc67c0c03", 4.5GB 1-Month All Day plan ,"""4.5GB 1-Month All Day plan for Monthly""",MTN 2200  4.5GB 1-Month All Day plan ,MTN060,2200,"BAXI, BUYPOWERNG",TCMTNVD
"1cdba5cb-c33e-425c-88e6-803a5ac75819, a5f2ba4e-30de-47ef-a9dc-0dc044fa2ac5", 750MB 2-Week Plan ,"""750MB 2-Week Plan for Weekly""",MTN 550  750MB 2-Week Plan ,MTN061,550,"BAXI, BUYPOWERNG",TCMTNVD
3e72497b-d849-429b-a7a3-2248dba0bf61, 6GB ,"""6GB for Weekly""",MTN 1500  6GB ,MTN062,1500,BAXI,TCMTNVD
"54f32cd4-c61a-49e6-a4e2-e41c32f8d25d, b955fe93-11b2-436c-a03d-a72004760fec", 350MB ,"""350MB for Weekly""",MTN 300  350MB ,MTN063,300,"BAXI, BUYPOWERNG",TCMTNVD
5b32201c-c9b0-4c0b-ae44-2231d0071ead, 1000GB ,"""1000GB for 1-Year""",MTN 300000  1000GB ,MTN064,300000,BAXI,TCMTNVD
"667395dc-c52a-4c51-812b-559d7e1c76de, 24e339d8-c526-44b8-bbce-7d443f9f1026", 2GB ,"""2GB for Monthly""",MTN 1200  2GB ,MTN065,1200,"BAXI, BUYPOWERNG",TCMTNVD
935c83e7-c7ba-4ce7-b148-06562a56119e, 250GB ,"""250GB for 90Days""",MTN 75000  250GB ,MTN066,75000,BAXI,TCMTNVD
79de31ef-6326-484e-aa7b-c6a4ba70c8f3,  360days ,"""1500GB """,MTN 450000   360days ,MTN067,450000,BUYPOWERNG,TCMTNVD
ca9a5b58-25fd-4b8f-adab-ecfe90901b22,  30days ,"""110GB """,MTN 20000   30days ,MTN068,20000,BUYPOWERNG,TCMTNVD
1770ccff-0c17-4ad1-927a-0ddea69e2568,  30days ,"""20GB """,MTN 5000   30days ,MTN069,5000,BUYPOWERNG,TCMTNVD
1770ccff-0c17-4ad1-927a-0ddea69e2568,  30days ,"""20GB """,MTN 5000   30days ,MTN070,5000,BUYPOWERNG,TCMTNVD
019fbb3d-e2cf-45ec-943a-7d765efa2e33,  360days ,"""2.5TB """,MTN 250000   360days ,MTN071,250000,BUYPOWERNG,TCMTNVD
01d6ee49-0395-4e67-9283-16e42d4b12d2,  90days ,"""250GB """,MTN 75000   90days ,MTN072,75000,BUYPOWERNG,TCMTNVD
