HTTP Code,vend_code,Response Code,Category,message,Description,AccuvendMasterResponseCode,Accuvend Description,Request,vendor
,,BX0024,No response from the connecting service provider,,,-1,Requires a requery,Requery,Baxi
,,BX0025,Error encountered during name finder validation,,,-1,Requires a requery,Requery,Baxi
,,BX0026,Requested biller service does not exist,,,-1,Requires a requery,Requery,Baxi
,,PROG0001,Programming error on the platform. (Should contact CDL support),,,-1,Requires a requery,Requery,Baxi
,,PROG0002,Programming error on the platform. (Should contact CDL support),,,-1,Requires a requery,Requery,Baxi
,,PROG0003,Programming error on the platform. (Should contact CDL support),,,-1,Requires a requery,Requery,Baxi
,,SEC00001,Bad credentials,,,-1,Requires a requery,Requery,Baxi
,,SEC00002,The user account has expired.,,,-1,Requires a requery,Requery,Baxi
,,SEC00003,User credentials have expired.,,,-1,Requires a requery,Requery,Baxi
,,SEC00004,The user is not active.,,,-1,Requires a requery,Requery,Baxi
,,SEC00005,The user is blocked.,,,-1,Requires a requery,Requery,Baxi
,,SEC00100,Unknown authentication error. (Should contact CDL support),,,-1,Requires a requery,Requery,Baxi
,,EXC00102,Not enough funds were available to complete the exchange.,,,-1,Requires a requery,Requery,Baxi
,,EXC00103,The requested service is not active. (Should resolve through API),,,-1,Requires a requery,Requery,Baxi
,,EXC00105,The balance could not be obtained. (Should resolve through API),,,-1,Requires a requery,Requery,Baxi
,,EXC00107,The cancellation of the exchange was rejected by the provider. (Should contact CDL support),,,-1,Requires a requery,Requery,Baxi
,,EXC00109,The service is blocked. (Should resolve through API),,,-1,Requires a requery,Requery,Baxi
,,EXC00112,The query of exchange failed because the exchange was never registered on the platform.,,,-1,Requires a requery,Requery,Baxi
,,EXC00113,The exchange is already canceled by the provider.,,,-1,Requires a requery,Requery,Baxi
,,EXC00114,The exchange is still pending. (Should resolve through API),,,-1,Requires a requery,Requery,Baxi
,,EXC00115,The exchange was not sent to the provider.,,,,,Requery,Baxi
,,EXC00116,The exchange request was already registered on the platform with the same ID but with different values. (Should check client implementation),,,,,Requery,Baxi
,,EXC00117,There was an error while calculating commissions. (Must contact CDL support immediately),,,,,Requery,Baxi
,,EXC00118,The sent service fee is invalid.,,,,,Requery,Baxi
,,EXC00119,The payment collector code is not recognized. (Should check client implementation),,,,,Requery,Baxi
,,EXC00123,Service is not allowed.,,,,,Requery,Baxi
,,EXC00124,The provider platform did not respond in a timely manner. (Should resolve through API),,,-1,Requires a requery,Requery,Baxi
,,EXC00125,The exchange request is not valid.,,,,,Validate meter,Baxi
,,EXC00125,The exchange request is not valid.,The Meter 6528651914 is unknown/not registered. ALERT ID-010117 Contact the Support services for assistance if required.,,,,Requery,Baxi
,,EXC00126,The cancellation failed. (Must be resolved through 'query' API call),,,-1,Requires a requery,Requery,Baxi
,,EXC00127,The exchange amount is too high.,,,,,Requery,Baxi
,,EXC00130,Payment method not recognized. (Should check client implementation),,,,,Requery,Baxi
,,EXC00131,The exchange request is not allowed at the moment.,,,,,Requery,Baxi
,,EXC00144,Platform is not available to receive new requests for exchange at the moment.,,,-1,Requires a requery,Requery,Baxi
,,UNK0001,,,,-1,Requires a requery,Requery,Baxi
,,EXC00001,,,,-1,Requires a requery,Requery,Baxi
,,,,,,,,,
200,,0,Successfull,,,1,successful response,Requery,irecharge
200,,0,Successfull,,,1,successful response,Vend token,irecharge
200,,0,Successfull,,,1,successful response,validate meter,irecharge
200,,-1,Unauthorised Access,,,,failure vendor access error,Requery,irecharge
200,,-1,Unauthorised Access,,,,failure vendor access error,Vend token,irecharge
200,,-1,Unauthorised Access,,,,failure vendor access error,validate meter,irecharge
200,,2,IP Blacklisted,,,,failure vendor access error,Requery,irecharge
200,,2,IP Blacklisted,,,,failure vendor access error,Vend token,irecharge
200,,2,IP Blacklisted,,,,failure vendor access error,validate meter,irecharge
200,,3,Invalid IP/Key/Vendor,,,,failure vendor authorization error,Requery,irecharge
200,,3,Invalid IP/Key/Vendor,,,,failure vendor authorization error,Vend token,irecharge
200,,3,Invalid IP/Key/Vendor,,,,failure vendor authorization error,validate meter,irecharge
200,,4,Status not active,,,,,Requery,irecharge
200,,4,Status not active,,,,,Vend token,irecharge
200,,4,Status not active,,,,,validate meter,irecharge
200,,5,Invalid Hash,,,,,Vend token,irecharge
200,,6,Missing Parameters,,,,,Vend token,irecharge
200,,11,Service temporarily unavailable,,,,,Vend token,irecharge
200,,12,Unknown User,,,,,Vend token,irecharge
200,,13,Invalid Meter,,,,,validate meter,irecharge
200,,14,Unknown Meter,,,,,validate meter,irecharge
200,,15,Meter has Pending Transaction,,,,,Vend token,irecharge
200,,19,Invalid Test Request,,,,,Vend token,irecharge
200,,20,Duplicate Reference ID,,,,,Vend token,irecharge
200,,40,Amount entered too low or too high,,,,,Vend token,irecharge
200,,41,Invalid phone number,,,,,Vend token,irecharge
200,,42,Vendor Closed for Business,,,,,Vend token,irecharge
200,,43,Sorry your request could not be completed at the moment. Please try again later.,,,,,Vend token,irecharge
200,,44,Insufficient Wallet Balance,,,,,Vend token,irecharge
200,,50,Error encountered. Please reconfirm Meter number,,,,,Vend token,irecharge
200,,51,Network Error,,,,,Vend token,irecharge
200,,6,Missing Parameters,,,,,requery,irecharge
200,,11,Service temporarily unavailable,,,,,requery,irecharge
200,,12,Unknown User,,,,,requery,irecharge
200,,13,Invalid Meter,,,,,validate meter,irecharge
200,,14,Unknown Meter,,,,,validate meter,irecharge
200,,15,Meter has Pending Transaction,,,,,requery,irecharge
200,,19,Invalid Test Request,,,,,requery,irecharge
200,,20,Duplicate Reference ID,,,,,requery,irecharge
200,,40,Amount entered too low or too high,,,,,requery,irecharge
200,,41,Invalid phone number,,,,,requery,irecharge
200,,42,Vendor Closed for Business,,,,,requery,irecharge
200,,43,Sorry your request could not be completed at the moment. Please try again later.,,,,,requery,irecharge
200,,44,Insufficient Wallet Balance,,,,,requery,irecharge
200,,50,Error encountered. Please reconfirm Meter number,,,,,requery,irecharge
200,,51,Network Error,,,,,requery,irecharge
200,01',00',pending,,,,,requery,irecharge
200,00',00',successful,,,,,requery,irecharge
200,02',00',failed,,,,,requery,irecharge
200,03',00',unknown,,,,,requery,irecharge
,,,,,,,,,irecharge
,,,,,,,,,irecharge
